Killer,Victim,Weapon,Headshot,WallBang
flameZ,latto,AK-47,false,false
ZywOo,Dumau,AWP,false,false
n1ssim,flameZ,M4A1,false,false
lux,ZywOo,M4A4,true,false
ropz,lux,AK-47,false,false
ropz,n1ssim,AK-47,false,false
latto,flameZ,AK-47,true,false
apEX,latto,HE Grenade,false,false
mezii,Dumau,M4A4,true,false
ropz,n1ssim,M4A1,false,false
lux,mezii,AK-47,true,false
ZywOo,lux,AWP,false,false
apEX,saadzin,M4A4,false,false
ZywOo,ZywOo,World,false,false
apEX,apEX,World,false,false
