Shooter,X,Y,Z,Weapon
donk,-408.24,-1152.92,-121.69,Molotov
zont1x,-392.91,-902.08,-415.97,HE Grenade
KSCERATO,985.94,-450.52,-127.97,Smoke Grenade
yuurih,968.11,-375.75,-127.97,HE Grenade
zont1x,-168.74,-1028.46,-415.97,Smoke Grenade
KSCERATO,786.78,-744.61,-206.97,Flashbang
YEKINDAR,695.37,-1447.69,-415.97,M4A1
YEKINDAR,694.39,-1448.51,-415.97,M4A1
YEKINDAR,693.70,-1450.21,-415.97,M4A1
YEKINDAR,690.49,-1458.24,-415.47,M4A1
YEKINDAR,688.61,-1462.94,-415.47,M4A1
zont1x,-241.63,-1092.07,-415.97,Flashbang
YEKINDAR,688.61,-1462.94,-415.47,M4A1
YEKINDAR,688.61,-1462.94,-415.47,M4A1
YEKINDAR,686.31,-1468.21,-415.47,M4A1
YEKINDAR,684.76,-1471.79,-415.47,M4A1
YEKINDAR,684.61,-1472.11,-415.47,M4A1
YEKINDAR,683.69,-1474.09,-415.47,M4A1
YEKINDAR,684.22,-1472.95,-415.47,M4A1
YEKINDAR,684.18,-1473.04,-415.47,M4A1
YEKINDAR,683.84,-1473.84,-415.47,M4A1
YEKINDAR,680.21,-1482.43,-415.47,M4A1
YEKINDAR,674.81,-1495.19,-415.47,M4A1
FalleN,390.05,85.26,-415.97,Smoke Grenade
molodoy,1331.35,-401.22,-127.97,M4A1
molodoy,1325.64,-399.78,-127.97,M4A1
molodoy,1323.62,-399.26,-127.97,M4A1
molodoy,1323.26,-399.17,-127.97,M4A1
molodoy,1323.19,-399.16,-127.97,M4A1
donk,911.59,-1612.09,-415.97,AK-47
sh1ro,4.66,-769.62,-68.53,Molotov
molodoy,1324.43,-399.46,-127.97,M4A1
donk,909.26,-1608.88,-415.97,AK-47
donk,908.90,-1608.29,-415.97,AK-47
donk,908.90,-1608.29,-415.97,AK-47
donk,909.10,-1610.62,-415.97,AK-47
donk,909.11,-1610.56,-415.97,AK-47
molodoy,1322.67,-377.31,-127.97,M4A1
donk,909.17,-1611.88,-415.97,AK-47
molodoy,1323.08,-376.25,-127.97,M4A1
donk,909.13,-1611.32,-415.97,AK-47
molodoy,1323.77,-376.28,-127.97,M4A1
donk,909.13,-1611.22,-415.97,AK-47
donk,909.08,-1610.74,-415.97,AK-47
donk,908.94,-1609.54,-415.97,AK-47
chopper,682.28,-1924.72,-415.97,Smoke Grenade
yuurih,756.04,-605.93,-399.97,Smoke Grenade
zweih,369.02,-1038.85,-391.97,HE Grenade
donk,705.90,-1575.05,-415.97,AK-47
donk,707.28,-1574.93,-415.97,AK-47
donk,709.01,-1573.72,-415.97,AK-47
donk,710.83,-1572.34,-415.97,AK-47
KSCERATO,921.07,-1465.33,-415.97,M4A1
donk,713.00,-1570.68,-415.97,AK-47
KSCERATO,921.31,-1466.23,-415.97,M4A1
donk,716.22,-1569.78,-415.97,AK-47
KSCERATO,921.31,-1466.23,-415.97,M4A1
KSCERATO,921.31,-1466.23,-415.97,M4A1
KSCERATO,921.32,-1466.22,-415.97,M4A1
chopper,724.02,-1624.64,-415.97,Molotov
molodoy,1099.23,-379.37,-127.97,M4A1
molodoy,1096.01,-369.49,-127.97,M4A1
molodoy,1091.82,-358.99,-127.97,M4A1
molodoy,1086.69,-346.80,-127.97,M4A1
molodoy,1083.66,-339.61,-127.97,M4A1
zweih,322.63,-651.34,-415.97,MAC-10
molodoy,1085.53,-344.07,-127.97,M4A1
zweih,325.79,-656.94,-415.97,MAC-10
zweih,330.22,-666.77,-415.97,MAC-10
molodoy,1089.00,-352.71,-127.97,M4A1
zweih,335.74,-679.45,-415.97,MAC-10
molodoy,1090.45,-356.39,-127.97,M4A1
zweih,340.82,-690.96,-415.97,MAC-10
molodoy,1090.23,-355.84,-127.97,M4A1
zweih,347.73,-706.46,-415.97,MAC-10
KSCERATO,913.43,-1433.02,-415.97,M4A1
zweih,352.05,-716.09,-415.90,MAC-10
molodoy,1090.31,-356.02,-127.97,M4A1
KSCERATO,912.07,-1437.67,-415.97,M4A1
molodoy,1090.60,-356.73,-127.97,M4A1
KSCERATO,912.68,-1437.70,-415.97,M4A1
KSCERATO,912.68,-1437.70,-415.97,M4A1
KSCERATO,912.68,-1437.70,-415.97,M4A1
KSCERATO,951.44,-1391.89,-415.97,M4A1
donk,713.02,-1324.17,-415.97,AK-47
KSCERATO,951.54,-1384.47,-415.97,M4A1
donk,712.55,-1324.75,-415.97,AK-47
donk,711.62,-1328.59,-415.97,AK-47
donk,710.76,-1332.38,-415.97,AK-47
chopper,403.81,-944.98,-391.97,AK-47
FalleN,222.99,-1083.87,-415.97,XM1014
chopper,405.57,-949.65,-391.97,AK-47
chopper,406.55,-950.90,-391.97,AK-47
chopper,407.54,-952.40,-391.97,AK-47
chopper,408.73,-954.29,-391.97,AK-47
chopper,410.25,-956.89,-391.97,AK-47
chopper,411.56,-959.43,-391.97,AK-47
chopper,413.19,-962.77,-391.97,AK-47
donk,377.37,-851.72,-391.97,Molotov
donk,364.21,-843.03,-391.97,AK-47
molodoy,911.96,-315.87,-127.97,M4A1
donk,364.22,-843.02,-391.97,AK-47
chopper,554.43,-621.03,-399.97,AK-47
molodoy,908.26,-313.14,-127.97,M4A1
donk,365.36,-844.23,-391.97,AK-47
chopper,552.54,-609.10,-399.97,AK-47
donk,365.33,-844.20,-391.97,AK-47
chopper,553.16,-605.99,-399.97,AK-47
donk,365.33,-844.20,-391.97,AK-47
chopper,552.03,-603.84,-399.97,AK-47
donk,365.96,-844.87,-391.97,AK-47
chopper,550.47,-601.79,-399.97,AK-47
chopper,548.62,-599.41,-399.97,AK-47
chopper,546.29,-596.43,-399.97,AK-47
donk,515.28,-881.73,-399.97,Knife
donk,478.70,-1362.33,-398.47,Knife
donk,-1831.68,-1160.00,-415.97,Glock-18
donk,-1817.03,-1159.84,-415.97,Glock-18
donk,-1788.46,-1159.62,-415.97,Glock-18
donk,-1746.16,-1159.80,-415.97,Glock-18
donk,-1701.20,-1160.26,-415.97,Glock-18
donk,-1656.20,-1160.80,-415.97,Glock-18
chopper,-1763.55,-1240.78,-407.97,Glock-18
donk,-1573.88,-1158.61,-415.97,Glock-18
chopper,-1763.55,-1240.78,-407.97,Glock-18
donk,-1522.85,-1162.32,-415.97,Glock-18
donk,-1485.98,-1162.42,-415.97,Glock-18
donk,-978.09,-1137.03,-415.97,Knife
FalleN,1434.02,-468.13,-415.97,Knife
FalleN,1317.05,-435.92,-415.97,Knife
donk,-676.70,-1328.50,-415.97,Smoke Grenade
FalleN,1236.34,-381.15,-415.97,Knife
zont1x,-891.97,-927.03,-374.14,Smoke Grenade
FalleN,1166.72,-307.88,-415.97,Knife
YEKINDAR,1503.03,-1156.68,-415.97,Smoke Grenade
zont1x,-807.10,-922.54,-413.97,Knife
chopper,-1567.96,-1072.07,-372.09,Smoke Grenade
zont1x,-722.83,-868.97,-415.97,Knife
zont1x,-539.03,-744.16,-415.97,Knife
KSCERATO,1001.29,-435.80,-127.97,Smoke Grenade
yuurih,1018.35,-361.56,-127.97,Incendiary Grenade
FalleN,714.48,75.70,-415.97,Incendiary Grenade
zweih,-375.68,-1170.20,-127.47,Molotov
chopper,-1567.96,-1072.07,-372.23,Smoke Grenade
zont1x,-388.03,-897.58,-415.97,HE Grenade
molodoy,1916.96,-1745.41,-415.97,M4A1
molodoy,1917.58,-1748.15,-415.97,M4A1
molodoy,1912.80,-1727.35,-415.97,M4A1
molodoy,1908.25,-1719.20,-415.97,M4A1
molodoy,1903.43,-1713.91,-415.97,M4A1
molodoy,1896.85,-1709.35,-415.97,M4A1
molodoy,1890.51,-1707.98,-415.97,M4A1
zont1x,-186.25,-1109.15,-415.97,Molotov
molodoy,1883.82,-1708.02,-415.97,M4A1
molodoy,1875.63,-1708.74,-415.97,M4A1
molodoy,1868.63,-1707.84,-415.97,M4A1
chopper,-1564.89,-1073.18,-386.48,Smoke Grenade
molodoy,1860.28,-1707.53,-415.97,M4A1
molodoy,1853.15,-1707.54,-415.97,M4A1
molodoy,1846.66,-1705.56,-415.97,M4A1
KSCERATO,925.34,-1119.95,-414.97,HE Grenade
FalleN,375.28,110.32,-415.97,Smoke Grenade
zont1x,146.70,-1187.29,-415.97,AK-47
zont1x,151.31,-1191.51,-415.97,AK-47
zont1x,152.17,-1192.90,-415.97,AK-47
zont1x,151.58,-1193.99,-415.97,AK-47
zont1x,151.58,-1193.99,-415.97,AK-47
zont1x,151.58,-1193.99,-415.97,AK-47
KSCERATO,754.90,-1415.61,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,755.18,-1416.03,-415.97,M4A1
KSCERATO,778.99,-1384.61,-415.97,M4A1
KSCERATO,779.59,-1384.57,-415.97,M4A1
KSCERATO,779.59,-1384.57,-415.97,M4A1
KSCERATO,779.59,-1384.57,-415.97,M4A1
KSCERATO,779.59,-1384.57,-415.97,M4A1
KSCERATO,779.59,-1384.57,-415.97,M4A1
KSCERATO,780.15,-1381.17,-415.97,M4A1
KSCERATO,839.99,-1341.15,-415.97,M4A1
KSCERATO,845.60,-1340.67,-415.97,M4A1
KSCERATO,847.64,-1340.50,-415.97,M4A1
KSCERATO,847.64,-1340.50,-415.97,M4A1
molodoy,1596.73,-502.45,-367.47,M4A1
YEKINDAR,1483.33,-1689.87,-415.97,M4A1
YEKINDAR,1483.03,-1687.76,-415.97,M4A1
molodoy,1593.83,-501.33,-369.41,M4A1
YEKINDAR,1483.10,-1688.32,-415.97,M4A1
molodoy,1592.63,-500.82,-370.21,M4A1
YEKINDAR,1483.29,-1689.73,-415.97,M4A1
YEKINDAR,1483.53,-1691.42,-415.97,M4A1
molodoy,1592.63,-500.82,-370.21,M4A1
YEKINDAR,1483.55,-1691.58,-415.97,M4A1
YEKINDAR,1483.55,-1691.58,-415.97,M4A1
YEKINDAR,1483.53,-1691.44,-415.97,M4A1
molodoy,1562.18,-487.66,-390.51,M4A1
YEKINDAR,1482.98,-1687.73,-415.97,M4A1
molodoy,1559.81,-486.65,-392.09,M4A1
molodoy,1556.49,-485.29,-394.30,M4A1
molodoy,1553.21,-483.97,-396.49,M4A1
molodoy,1548.86,-482.22,-399.39,M4A1
molodoy,1546.72,-481.36,-400.81,M4A1
molodoy,1546.43,-481.37,-401.01,M4A1
molodoy,1545.31,-481.85,-401.75,M4A1
chopper,-311.32,-1044.04,-415.97,AK-47
YEKINDAR,1478.31,-1647.30,-415.97,M4A1
chopper,-311.10,-1043.49,-415.97,AK-47
YEKINDAR,1478.19,-1646.92,-415.97,M4A1
chopper,-311.10,-1043.49,-415.97,AK-47
YEKINDAR,1478.19,-1646.92,-415.97,M4A1
chopper,-311.10,-1043.49,-415.97,AK-47
chopper,-311.10,-1043.49,-415.97,AK-47
chopper,-311.10,-1043.49,-415.97,AK-47
YEKINDAR,1486.56,-1674.78,-415.97,M4A1
YEKINDAR,1486.56,-1674.24,-415.97,M4A1
YEKINDAR,1486.67,-1674.95,-415.97,M4A1
YEKINDAR,1487.58,-1680.77,-415.97,M4A1
YEKINDAR,1487.36,-1679.28,-415.97,M4A1
YEKINDAR,1487.36,-1679.24,-415.97,M4A1
YEKINDAR,1487.36,-1679.24,-415.97,M4A1
YEKINDAR,1487.36,-1679.24,-415.97,M4A1
donk,479.63,-2333.61,-415.97,Molotov
zont1x,145.43,-1205.41,-415.97,AK-47
zont1x,142.95,-1207.61,-415.97,AK-47
zont1x,142.95,-1207.61,-415.97,AK-47
zont1x,142.46,-1208.44,-415.97,AK-47
zont1x,142.22,-1208.86,-415.97,AK-47
zont1x,142.22,-1208.86,-415.97,AK-47
zont1x,142.22,-1208.86,-415.97,AK-47
zont1x,143.75,-1206.30,-415.97,AK-47
YEKINDAR,1566.32,-1102.33,-415.97,M4A1
YEKINDAR,1569.53,-1105.57,-415.97,M4A1
zweih,37.48,-859.42,-415.97,AK-47
YEKINDAR,1571.60,-1107.67,-415.97,M4A1
zweih,33.38,-855.13,-415.97,AK-47
YEKINDAR,1573.56,-1109.15,-415.97,M4A1
zweih,27.99,-849.94,-415.97,AK-47
YEKINDAR,1575.16,-1108.32,-415.97,M4A1
zweih,23.00,-845.30,-415.97,AK-47
YEKINDAR,1577.45,-1107.79,-415.97,M4A1
zweih,18.03,-840.62,-415.97,AK-47
YEKINDAR,1578.08,-1106.32,-415.97,M4A1
zweih,13.91,-834.11,-415.97,AK-47
zweih,9.97,-828.56,-415.97,AK-47
zweih,5.75,-821.91,-415.97,AK-47
zweih,2.72,-815.80,-415.97,AK-47
zweih,-1.25,-810.22,-415.97,AK-47
zweih,-6.55,-804.23,-415.97,AK-47
zweih,-11.43,-799.43,-415.97,AK-47
zweih,-17.35,-794.05,-415.97,AK-47
zweih,-21.48,-788.82,-415.97,AK-47
YEKINDAR,1415.19,-970.78,-415.97,M4A1
YEKINDAR,1409.00,-967.16,-415.97,M4A1
YEKINDAR,1391.77,-958.88,-415.97,M4A1
YEKINDAR,1371.72,-951.08,-415.97,M4A1
YEKINDAR,1364.94,-948.74,-415.97,M4A1
YEKINDAR,1356.99,-946.14,-415.97,M4A1
YEKINDAR,1350.14,-944.00,-415.97,M4A1
YEKINDAR,1327.24,-937.45,-415.97,M4A1
YEKINDAR,1321.33,-933.74,-415.97,M4A1
YEKINDAR,1316.04,-928.92,-415.97,M4A1
YEKINDAR,1310.43,-922.72,-415.97,M4A1
YEKINDAR,1306.88,-916.91,-407.97,M4A1
chopper,251.81,-460.78,-415.97,AK-47
molodoy,138.65,133.32,-415.97,M4A1
chopper,251.35,-460.68,-415.97,AK-47
sh1ro,106.08,-635.82,-415.97,Galil AR
chopper,250.02,-460.92,-415.97,AK-47
FalleN,75.24,-34.36,-415.97,MP9
sh1ro,104.49,-635.73,-415.97,Galil AR
FalleN,77.41,-33.45,-415.97,MP9
chopper,248.43,-461.32,-415.97,AK-47
FalleN,75.65,-34.17,-415.97,MP9
sh1ro,104.30,-635.72,-415.97,Galil AR
FalleN,71.95,-35.70,-415.97,MP9
sh1ro,103.43,-635.69,-415.97,Galil AR
FalleN,67.07,-37.73,-415.97,MP9
sh1ro,105.64,-635.75,-415.97,Galil AR
FalleN,65.06,-39.34,-415.97,MP9
sh1ro,112.19,-635.64,-415.97,Galil AR
FalleN,65.06,-40.02,-415.97,MP9
FalleN,65.15,-39.98,-415.97,MP9
sh1ro,124.41,-635.23,-415.97,Galil AR
sh1ro,138.50,-635.10,-415.97,Galil AR
FalleN,100.28,-36.89,-415.97,MP9
FalleN,101.50,-36.82,-415.97,MP9
sh1ro,140.53,-634.94,-415.97,Galil AR
FalleN,98.29,-37.07,-415.97,MP9
sh1ro,143.77,-634.70,-415.97,Galil AR
FalleN,95.55,-37.27,-415.97,MP9
sh1ro,145.89,-634.55,-415.97,Galil AR
FalleN,92.62,-37.48,-415.97,MP9
FalleN,91.06,-37.59,-415.97,MP9
sh1ro,147.84,-634.43,-415.97,Galil AR
zweih,127.69,-371.83,-415.97,AK-47
sh1ro,149.67,-634.30,-415.97,Galil AR
zweih,124.29,-372.62,-415.97,AK-47
sh1ro,152.09,-634.14,-415.97,Galil AR
zweih,127.48,-372.33,-415.97,AK-47
sh1ro,154.77,-633.95,-415.97,Galil AR
KSCERATO,849.41,-1097.80,-415.97,Smoke Grenade
zweih,131.01,-371.95,-415.97,AK-47
zweih,291.53,116.33,-415.32,AK-47
YEKINDAR,554.40,615.81,-478.97,M4A1
zweih,287.41,118.55,-415.32,AK-47
YEKINDAR,553.49,616.33,-478.97,M4A1
YEKINDAR,553.49,616.33,-478.97,M4A1
YEKINDAR,553.49,616.33,-478.97,M4A1
YEKINDAR,557.02,614.40,-478.97,M4A1
zont1x,679.18,-50.22,-415.97,AK-47
zont1x,682.28,-51.70,-415.97,AK-47
YEKINDAR,580.70,608.81,-478.97,M4A1
zont1x,683.91,-51.98,-415.97,AK-47
YEKINDAR,584.94,609.08,-478.97,M4A1
zont1x,683.32,-52.07,-415.97,AK-47
YEKINDAR,581.81,608.70,-478.97,M4A1
zont1x,682.64,-52.17,-415.97,AK-47
YEKINDAR,578.19,608.23,-478.97,M4A1
zont1x,683.43,-52.07,-415.97,AK-47
YEKINDAR,576.11,607.92,-478.97,M4A1
zont1x,683.04,-52.12,-415.97,AK-47
zont1x,682.63,-52.17,-415.97,AK-47
zont1x,682.99,-52.13,-415.97,AK-47
zont1x,682.99,-52.13,-415.97,AK-47
zont1x,682.99,-52.13,-415.97,AK-47
sh1ro,581.82,-33.24,-415.97,AK-47
sh1ro,793.63,-239.45,-639.97,AK-47
sh1ro,832.50,-281.23,-639.97,Molotov
KSCERATO,309.35,-1317.09,-767.47,M4A1
KSCERATO,309.60,-1316.23,-767.47,M4A1
KSCERATO,308.84,-1315.40,-767.47,M4A1
KSCERATO,305.11,-1311.36,-767.47,M4A1
KSCERATO,303.52,-1309.63,-767.47,M4A1
yuurih,587.32,-1346.79,-767.97,FAMAS
yuurih,596.74,-1345.82,-767.97,FAMAS
yuurih,608.45,-1344.66,-767.97,FAMAS
yuurih,606.75,-1345.63,-767.97,FAMAS
yuurih,606.50,-1345.74,-767.97,FAMAS
zont1x,432.87,-77.81,-639.97,AK-47
zont1x,425.17,-82.28,-639.97,AK-47
zont1x,346.91,-403.33,-639.97,AK-47
zont1x,347.38,-408.05,-639.97,AK-47
zont1x,345.14,-411.82,-639.97,AK-47
zont1x,343.03,-415.36,-639.97,AK-47
yuurih,660.64,-1359.28,-767.97,FAMAS
zont1x,340.96,-419.04,-639.97,AK-47
zont1x,340.31,-420.19,-639.97,AK-47
zont1x,340.31,-420.19,-639.97,AK-47
donk,458.97,47.74,-639.97,HE Grenade
KSCERATO,886.37,-1357.22,-767.97,M4A1
KSCERATO,891.66,-1353.24,-767.97,M4A1
KSCERATO,898.92,-1348.80,-767.97,M4A1
KSCERATO,905.25,-1345.25,-767.97,M4A1
yuurih,769.66,-1343.62,-767.97,FAMAS
donk,445.50,6.27,-639.97,AK-47
donk,446.33,6.49,-639.97,AK-47
donk,449.41,7.28,-639.97,AK-47
donk,452.54,8.05,-639.97,AK-47
KSCERATO,887.03,-1343.95,-767.97,M4A1
KSCERATO,888.57,-1343.43,-767.97,M4A1
KSCERATO,890.55,-1342.76,-767.97,M4A1
KSCERATO,901.30,-1339.12,-767.97,M4A1
donk,421.84,-0.75,-639.97,AK-47
donk,413.75,-10.01,-639.97,AK-47
donk,446.30,1.98,-639.97,AK-47
KSCERATO,904.53,-1338.43,-767.97,M4A1
KSCERATO,908.22,-1337.17,-767.97,M4A1
donk,417.29,-7.49,-639.97,AK-47
donk,418.94,-6.83,-639.97,AK-47
donk,422.78,-5.42,-639.97,AK-47
donk,427.79,-3.58,-639.97,AK-47
donk,432.54,-1.84,-639.97,AK-47
donk,441.47,2.58,-639.97,AK-47
donk,438.14,1.44,-639.97,AK-47
KSCERATO,855.78,-1299.45,-765.97,M4A1
KSCERATO,854.14,-1300.43,-765.97,M4A1
donk,428.08,-0.31,-639.97,AK-47
KSCERATO,835.55,-1306.16,-765.97,M4A1
donk,432.29,1.05,-639.97,AK-47
KSCERATO,839.57,-1304.92,-765.97,M4A1
donk,437.15,2.57,-639.97,AK-47
donk,439.87,3.41,-639.97,AK-47
KSCERATO,835.50,-1306.22,-765.97,M4A1
donk,442.23,4.10,-639.97,AK-47
KSCERATO,837.09,-1305.74,-765.97,M4A1
KSCERATO,839.60,-1304.98,-765.97,M4A1
KSCERATO,841.78,-1304.32,-765.97,M4A1
KSCERATO,844.53,-1303.48,-765.97,M4A1
KSCERATO,724.95,-635.77,-767.97,Knife
donk,-1497.66,-1100.98,-415.97,Glock-18
donk,-1437.73,-1098.55,-415.97,Glock-18
sh1ro,-660.17,-1329.11,-415.97,Knife
donk,-1377.73,-1098.71,-415.97,Glock-18
donk,-1329.72,-1095.60,-415.97,Glock-18
sh1ro,-586.56,-1399.08,-415.97,Knife
donk,-1279.94,-1086.76,-415.97,Glock-18
YEKINDAR,1430.08,-1203.02,-415.97,Smoke Grenade
sh1ro,-515.71,-1466.29,-415.97,Knife
donk,-1224.69,-1049.64,-415.97,Glock-18
molodoy,1717.30,-1136.41,-379.32,Incendiary Grenade
donk,-1172.75,-1035.78,-415.97,Glock-18
sh1ro,-441.63,-1535.77,-415.97,Knife
donk,-1135.32,-1035.59,-415.97,Glock-18
donk,-1071.75,-1040.32,-415.97,Glock-18
chopper,-1268.03,-1162.30,-373.78,Smoke Grenade
KSCERATO,983.69,-444.03,-127.97,Smoke Grenade
yuurih,983.82,-348.65,-127.97,HE Grenade
FalleN,920.63,50.40,-415.97,Smoke Grenade
zont1x,-1336.43,-1069.78,-415.97,Tec-9
KSCERATO,788.75,-749.81,-206.97,Flashbang
chopper,-1070.73,-1142.97,-387.86,Smoke Grenade
KSCERATO,707.25,-1228.98,-415.97,M4A1
zont1x,-891.96,-927.03,-385.84,Smoke Grenade
zont1x,-805.10,-920.16,-413.97,Knife
zont1x,-678.17,-830.02,-415.97,Knife
zont1x,-537.77,-739.03,-415.97,Knife
zont1x,-435.99,-877.05,-415.97,HE Grenade
molodoy,1318.92,-531.98,-127.97,HE Grenade
zont1x,-594.70,-781.60,-415.97,Knife
molodoy,1329.61,-394.06,-127.97,M4A1
molodoy,1330.44,-394.26,-127.97,M4A1
molodoy,1323.38,-392.56,-127.97,M4A1
molodoy,1321.50,-392.17,-127.97,M4A1
molodoy,1320.72,-392.02,-127.97,M4A1
molodoy,1320.65,-392.00,-127.97,M4A1
molodoy,1336.73,-395.59,-127.97,M4A1
molodoy,1333.41,-394.71,-127.97,M4A1
molodoy,1333.18,-394.65,-127.97,M4A1
molodoy,1333.18,-394.65,-127.97,M4A1
molodoy,1333.18,-394.65,-127.97,M4A1
molodoy,1333.18,-394.65,-127.97,M4A1
molodoy,1333.18,-394.65,-127.97,M4A1
molodoy,1315.97,-391.71,-127.97,M4A1
molodoy,1316.43,-391.78,-127.97,M4A1
molodoy,1316.43,-391.78,-127.97,M4A1
molodoy,1305.90,-389.98,-127.47,M4A1
molodoy,1305.90,-389.98,-127.47,M4A1
molodoy,1305.75,-389.98,-127.47,M4A1
molodoy,1298.87,-389.64,-127.47,M4A1
molodoy,1192.48,-633.23,-415.97,M4A1
molodoy,1192.10,-634.91,-415.97,M4A1
molodoy,1150.35,-631.45,-415.97,M4A1
molodoy,1148.26,-631.12,-415.97,M4A1
molodoy,1148.82,-631.09,-415.97,M4A1
molodoy,1150.03,-631.03,-415.97,M4A1
molodoy,1151.57,-630.96,-415.97,M4A1
molodoy,1153.57,-630.87,-415.97,M4A1
molodoy,1156.47,-630.74,-415.97,M4A1
molodoy,1159.46,-630.63,-415.97,M4A1
molodoy,1163.53,-630.49,-415.97,M4A1
molodoy,1167.50,-630.40,-415.97,M4A1
zont1x,-106.31,-1866.66,-415.97,Flashbang
molodoy,1190.04,-633.42,-415.97,M4A1
molodoy,1187.13,-632.90,-415.97,M4A1
molodoy,1190.43,-633.49,-415.97,M4A1
molodoy,1191.09,-633.60,-415.97,M4A1
molodoy,1191.09,-633.60,-415.97,M4A1
molodoy,1191.38,-633.66,-415.97,M4A1
molodoy,1196.97,-633.29,-415.97,M4A1
YEKINDAR,667.64,-2158.53,-415.97,AK-47
YEKINDAR,667.64,-2158.53,-415.97,AK-47
YEKINDAR,665.03,-2141.45,-415.97,AK-47
YEKINDAR,665.86,-2138.16,-415.97,AK-47
YEKINDAR,665.52,-2139.32,-415.97,AK-47
zont1x,138.92,-2036.35,-415.97,Tec-9
YEKINDAR,665.20,-2059.69,-415.97,AK-47
zont1x,152.54,-2098.14,-415.97,Tec-9
YEKINDAR,665.68,-2057.17,-415.97,AK-47
chopper,1093.71,-2404.99,-415.97,Tec-9
YEKINDAR,665.72,-2057.41,-415.97,AK-47
donk,1452.09,-2372.89,-373.97,Galil AR
YEKINDAR,665.78,-2058.45,-415.97,AK-47
donk,1449.71,-2371.54,-373.97,Galil AR
zont1x,151.49,-2088.07,-415.97,Tec-9
yuurih,820.92,-1610.65,-415.97,FAMAS
chopper,1099.49,-2370.58,-415.97,Tec-9
donk,1447.13,-2372.08,-373.97,Galil AR
YEKINDAR,665.91,-2060.05,-415.97,AK-47
yuurih,827.65,-1612.75,-415.97,FAMAS
donk,1444.76,-2372.97,-373.97,Galil AR
YEKINDAR,665.91,-2060.10,-415.97,AK-47
yuurih,831.28,-1613.72,-415.97,FAMAS
donk,1441.58,-2374.21,-373.97,Galil AR
YEKINDAR,665.91,-2060.74,-415.97,AK-47
chopper,1120.77,-2326.73,-415.97,Tec-9
yuurih,831.78,-1613.85,-415.97,FAMAS
donk,1439.04,-2373.38,-373.97,Galil AR
zont1x,151.80,-2095.00,-415.97,Tec-9
yuurih,831.78,-1613.85,-415.97,FAMAS
donk,1437.50,-2371.10,-373.97,Galil AR
yuurih,831.19,-1614.17,-415.97,FAMAS
donk,1436.35,-2368.73,-373.97,Galil AR
chopper,1134.74,-2298.69,-415.97,Tec-9
zont1x,151.50,-2090.29,-415.97,Tec-9
yuurih,829.81,-1614.93,-415.97,FAMAS
donk,1434.91,-2365.47,-373.97,Galil AR
yuurih,828.81,-1615.49,-415.97,FAMAS
donk,1433.31,-2361.79,-373.97,Galil AR
chopper,1122.34,-2321.17,-415.97,Tec-9
yuurih,827.49,-1616.22,-415.97,FAMAS
donk,1431.41,-2357.91,-373.97,Galil AR
yuurih,826.83,-1616.59,-415.97,FAMAS
yuurih,825.71,-1617.21,-415.97,FAMAS
chopper,1083.49,-2345.30,-415.97,Tec-9
yuurih,824.94,-1617.64,-415.97,FAMAS
donk,1418.72,-2363.89,-373.97,Galil AR
yuurih,824.94,-1617.64,-415.97,FAMAS
yuurih,824.56,-1617.26,-415.97,FAMAS
chopper,1058.36,-2362.88,-415.97,Tec-9
yuurih,818.36,-1615.21,-415.97,FAMAS
yuurih,729.94,-1426.93,-415.97,Smoke Grenade
molodoy,1871.62,-1558.99,-415.97,M4A1
molodoy,1867.65,-1554.28,-415.97,M4A1
molodoy,1863.55,-1549.51,-415.97,M4A1
molodoy,1858.35,-1543.55,-415.97,M4A1
molodoy,1832.46,-1515.52,-415.97,M4A1
donk,1096.37,-2197.95,-415.97,Galil AR
molodoy,1818.27,-1500.78,-415.97,M4A1
donk,1096.41,-2197.98,-415.97,Galil AR
donk,1118.78,-2219.47,-415.97,Galil AR
donk,1122.44,-2213.83,-415.97,Galil AR
chopper,1730.14,-1686.81,-415.97,Tec-9
chopper,1745.18,-1685.07,-415.97,Tec-9
molodoy,1500.71,-1513.58,-415.97,M4A1
chopper,1804.46,-1574.49,-415.97,Tec-9
molodoy,1489.19,-1506.99,-415.97,M4A1
chopper,1808.91,-1560.77,-415.97,Tec-9
molodoy,1482.84,-1506.54,-415.97,M4A1
molodoy,1478.74,-1509.71,-415.97,M4A1
chopper,1811.14,-1544.94,-415.97,Tec-9
molodoy,1476.84,-1513.73,-415.97,M4A1
molodoy,1475.69,-1518.39,-415.97,M4A1
chopper,1813.09,-1529.52,-415.97,Tec-9
molodoy,1474.82,-1524.45,-415.97,M4A1
molodoy,1472.77,-1529.34,-415.97,M4A1
molodoy,1470.11,-1535.52,-415.97,M4A1
zont1x,1299.12,-1262.94,-415.97,AK-47
zont1x,1300.48,-1258.38,-415.97,AK-47
zont1x,1300.51,-1257.78,-415.97,AK-47
zont1x,1301.03,-1257.50,-415.97,AK-47
zont1x,1301.03,-1257.50,-415.97,AK-47
