Shooter,X,Y,Z,Weapon
sh1ro,561.48,-1241.72,-415.97,Glock-18
KSCERATO,1020.59,-372.93,-127.97,USP-S
sh1ro,558.79,-1240.40,-415.97,Glock-18
KSCERATO,1028.86,-377.35,-127.97,USP-S
zweih,809.01,-834.02,-399.97,Glock-18
sh1ro,563.94,-1243.17,-415.97,Glock-18
yuurih,923.53,-582.31,-414.97,USP-S
sh1ro,554.46,-1238.15,-415.97,Glock-18
KSCERATO,1038.91,-382.87,-127.97,USP-S
yuurih,916.14,-583.99,-414.97,USP-S
zweih,805.96,-832.23,-399.97,Glock-18
sh1ro,542.17,-1231.38,-415.97,Glock-18
KSCERATO,1048.31,-388.08,-127.97,USP-S
yuurih,890.42,-574.61,-406.38,USP-S
zweih,793.42,-827.04,-399.97,Glock-18
sh1ro,527.42,-1227.98,-415.97,Glock-18
KSCERATO,1057.81,-392.51,-127.97,USP-S
zweih,781.35,-824.58,-399.97,Glock-18
KSCERATO,1065.73,-397.49,-127.97,USP-S
yuurih,766.73,-390.93,-415.97,USP-S
sh1ro,922.74,-1029.71,-415.97,Glock-18
yuurih,770.08,-390.20,-415.97,USP-S
sh1ro,913.26,-1022.25,-415.97,Glock-18
yuurih,753.79,-394.11,-415.97,USP-S
sh1ro,901.63,-1021.18,-415.97,Glock-18
yuurih,753.38,-394.08,-415.97,USP-S
sh1ro,897.74,-1020.78,-415.97,Glock-18
yuurih,789.78,-385.17,-415.97,USP-S
sh1ro,728.79,-921.58,-407.59,Glock-18
KSCERATO,1008.01,-341.58,-127.97,USP-S
sh1ro,727.36,-921.80,-407.64,Glock-18
KSCERATO,1020.78,-347.70,-127.97,USP-S
sh1ro,727.56,-921.93,-407.68,Glock-18
sh1ro,728.63,-922.51,-407.81,Glock-18
KSCERATO,1023.14,-347.20,-127.97,USP-S
zweih,456.95,-1350.78,-415.97,Glock-18
zweih,438.75,-1335.50,-415.97,Glock-18
KSCERATO,1091.15,-346.34,-127.97,USP-S
zweih,432.19,-1351.13,-415.97,Glock-18
zweih,447.38,-1394.80,-415.97,Glock-18
KSCERATO,1099.99,-327.53,-127.97,USP-S
sh1ro,488.20,-792.02,-391.97,Glock-18
sh1ro,1066.84,-442.84,-597.97,Glock-18
donk,-1808.00,-1089.00,-415.97,Glock-18
donk,-1799.20,-1098.08,-415.97,Glock-18
donk,-1765.69,-1132.60,-415.97,Glock-18
chopper,-1768.85,-1220.44,-407.97,Glock-18
donk,-1721.29,-1159.42,-415.97,Glock-18
chopper,-1736.35,-1222.79,-407.97,Glock-18
donk,-1629.55,-1171.37,-415.97,Glock-18
chopper,-1706.67,-1224.75,-407.97,Glock-18
donk,-1581.42,-1171.96,-415.97,Glock-18
chopper,-1681.88,-1229.47,-415.97,Glock-18
chopper,-1656.66,-1227.70,-415.97,Glock-18
donk,-802.40,-1195.66,-413.97,Knife
zont1x,-891.94,-927.04,-369.83,Smoke Grenade
FalleN,1176.46,-311.82,-415.97,Knife
FalleN,1132.89,-255.02,-415.47,Knife
FalleN,804.76,87.58,-415.97,Knife
zweih,-361.45,-1167.48,-123.30,Molotov
zont1x,-431.32,-893.56,-415.97,HE Grenade
yuurih,783.27,-642.50,-206.97,Flashbang
chopper,-1567.99,-1072.03,-373.06,Smoke Grenade
KSCERATO,558.91,620.59,-478.97,Flashbang
chopper,-1567.99,-1072.03,-369.67,Smoke Grenade
zweih,-393.74,-1004.29,-415.97,AK-47
zweih,-388.71,-1003.06,-415.97,AK-47
zweih,-385.59,-1004.43,-415.97,AK-47
zweih,-381.56,-1004.43,-415.97,AK-47
zweih,-377.95,-1005.17,-415.97,AK-47
zweih,-374.11,-1006.18,-415.97,AK-47
zweih,-369.37,-1007.02,-415.97,AK-47
zweih,-365.11,-1008.59,-415.97,AK-47
zweih,-359.73,-1009.43,-415.97,AK-47
zont1x,-199.84,-426.19,-415.97,MAC-10
zont1x,-200.21,-425.43,-415.97,MAC-10
FalleN,163.06,-370.07,-415.97,Five-SeveN
zont1x,-199.84,-427.66,-415.97,MAC-10
chopper,-1564.01,-1073.47,-379.94,Smoke Grenade
zont1x,-199.02,-432.45,-415.97,MAC-10
FalleN,160.47,-380.54,-415.97,Five-SeveN
zont1x,-197.97,-438.76,-415.97,MAC-10
zont1x,-197.21,-443.28,-415.97,MAC-10
FalleN,161.26,-389.75,-415.97,Five-SeveN
zont1x,-197.16,-443.54,-415.97,MAC-10
yuurih,232.38,-946.09,-415.97,MP9
zont1x,-197.23,-443.06,-415.97,MAC-10
FalleN,160.46,-383.28,-415.97,Five-SeveN
molodoy,85.26,-320.99,-415.97,Desert Eagle
yuurih,232.38,-941.95,-415.97,MP9
yuurih,232.00,-944.57,-415.97,MP9
yuurih,230.91,-952.49,-415.97,MP9
FalleN,159.61,-377.99,-415.97,Five-SeveN
yuurih,229.70,-960.42,-415.97,MP9
yuurih,229.55,-962.55,-415.97,MP9
FalleN,159.40,-376.72,-415.97,Five-SeveN
yuurih,230.40,-959.41,-415.97,MP9
yuurih,232.27,-953.06,-415.97,MP9
FalleN,160.04,-379.79,-415.97,Five-SeveN
yuurih,235.44,-943.22,-415.97,MP9
zweih,-226.96,-770.54,-415.97,AK-47
yuurih,236.05,-941.28,-415.97,MP9
zweih,-227.64,-771.86,-415.97,AK-47
yuurih,234.78,-944.78,-415.97,MP9
zweih,-229.36,-776.08,-415.97,AK-47
yuurih,232.93,-949.30,-415.97,MP9
yuurih,230.16,-955.70,-415.97,MP9
zweih,-230.69,-779.79,-415.97,AK-47
yuurih,227.67,-961.19,-415.97,MP9
molodoy,35.98,-300.08,-415.97,Desert Eagle
zweih,-231.30,-781.57,-415.97,AK-47
yuurih,224.27,-968.49,-415.97,MP9
yuurih,222.90,-971.45,-415.97,MP9
zweih,-231.26,-781.49,-415.97,AK-47
yuurih,223.72,-969.52,-415.97,MP9
zweih,-231.15,-781.21,-415.97,AK-47
yuurih,225.55,-965.25,-415.97,MP9
yuurih,226.98,-961.83,-415.97,MP9
yuurih,227.89,-959.57,-415.97,MP9
molodoy,52.93,-309.23,-415.97,Desert Eagle
yuurih,228.65,-957.54,-415.97,MP9
yuurih,229.28,-955.81,-415.97,MP9
FalleN,-22.74,-439.35,-415.47,Five-SeveN
sh1ro,-52.03,-633.95,-415.97,Galil AR
FalleN,-26.79,-438.63,-415.47,Five-SeveN
sh1ro,-54.17,-633.84,-415.97,Galil AR
sh1ro,-62.40,-633.25,-415.97,Galil AR
sh1ro,-64.36,-633.23,-415.97,Galil AR
sh1ro,-61.95,-633.63,-415.97,Galil AR
sh1ro,-65.98,-632.90,-415.97,Galil AR
sh1ro,-68.46,-632.51,-415.97,Galil AR
sh1ro,-63.51,-633.76,-415.97,Galil AR
sh1ro,-58.07,-635.02,-415.97,Galil AR
sh1ro,-53.40,-635.07,-415.97,Galil AR
sh1ro,-54.16,-634.50,-415.97,Galil AR
sh1ro,-56.23,-634.24,-415.97,Galil AR
sh1ro,-62.30,-633.43,-415.97,Galil AR
sh1ro,-74.50,-631.62,-415.97,Galil AR
sh1ro,-82.53,-630.61,-415.97,Galil AR
sh1ro,-79.83,-631.50,-415.97,Galil AR
FalleN,36.06,-462.09,-415.97,Five-SeveN
FalleN,-6.10,-434.69,-415.47,Five-SeveN
YEKINDAR,-153.56,-816.36,-415.97,Five-SeveN
FalleN,-33.94,-459.91,-415.47,Five-SeveN
YEKINDAR,-190.02,-807.95,-415.97,Five-SeveN
FalleN,-41.93,-459.95,-415.47,Five-SeveN
sh1ro,-54.35,-634.61,-415.97,Galil AR
YEKINDAR,-224.14,-792.52,-415.97,Five-SeveN
sh1ro,-59.69,-635.87,-415.97,Galil AR
FalleN,-41.09,-459.97,-415.47,Five-SeveN
YEKINDAR,-248.40,-776.65,-413.97,Five-SeveN
sh1ro,-64.77,-634.22,-415.97,Galil AR
FalleN,-38.98,-459.95,-415.47,Five-SeveN
sh1ro,-63.59,-631.06,-415.97,Galil AR
YEKINDAR,-253.18,-776.23,-413.97,Five-SeveN
sh1ro,-59.90,-628.40,-415.97,Galil AR
molodoy,-112.10,-409.80,-415.97,Desert Eagle
FalleN,-35.28,-459.94,-415.47,Five-SeveN
sh1ro,-56.93,-627.17,-415.97,Galil AR
YEKINDAR,-253.99,-775.50,-413.97,Five-SeveN
sh1ro,-55.48,-626.94,-415.97,Galil AR
FalleN,-34.64,-459.92,-415.47,Five-SeveN
YEKINDAR,-255.94,-771.19,-413.97,Five-SeveN
sh1ro,-53.88,-626.69,-415.97,Galil AR
molodoy,-124.77,-410.25,-415.97,Desert Eagle
sh1ro,-53.67,-626.65,-415.97,Galil AR
FalleN,-25.05,-459.76,-415.47,Five-SeveN
YEKINDAR,-251.06,-758.00,-413.97,Five-SeveN
sh1ro,-53.67,-626.65,-415.97,Galil AR
FalleN,-29.87,-458.48,-415.47,Five-SeveN
YEKINDAR,-234.40,-750.76,-415.97,Five-SeveN
FalleN,-19.18,-459.90,-415.47,Five-SeveN
YEKINDAR,-227.99,-737.07,-415.97,Five-SeveN
FalleN,-27.94,-428.45,-415.47,Smoke Grenade
donk,-300.65,-1115.88,-415.97,Galil AR
YEKINDAR,-125.24,-736.12,-415.97,AK-47
donk,-302.44,-1114.49,-415.97,Galil AR
